# BME688 cage-odor heater-sweep log
# firmware_version,cage-odor-1.2.0
# session_start_iso,(no RTC)
# session_start_unix,0
# rtc_present,0
# sensors_detected,8 of 8
# sensor,0,logical_id,0,enabled,1,ok,1,unique_id,0x2ED18B51
# sensor,1,logical_id,1,enabled,1,ok,1,unique_id,0x2ED19951
# sensor,2,logical_id,2,enabled,1,ok,1,unique_id,0x2ED19B51
# sensor,3,logical_id,3,enabled,1,ok,1,unique_id,0x2ED19D51
# sensor,4,logical_id,4,enabled,1,ok,1,unique_id,0x2ED1A051
# sensor,5,logical_id,5,enabled,1,ok,1,unique_id,0x2ED1A251
# sensor,6,logical_id,6,enabled,1,ok,1,unique_id,0x2ED1A451
# sensor,7,logical_id,7,enabled,1,ok,1,unique_id,0x2ED19C4A
# profile_rotate_ms,120000
# n_profiles,4
# profile,0,bosch_default,meas_dur_ms,140,temps,320 100 100 100 200 200 200 320 320 320,muls,5 2 10 30 5 5 5 5 5 5
# profile,1,ramp_200_350,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,10 10 10 10 10 10 10 10 10 10
# profile,2,ramp_short_dwell,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,3 3 3 3 3 3 3 3 3 3
# profile,3,ramp_long_dwell,meas_dur_ms,300,temps,200 217 233 250 267 283 300 317 333 350,muls,20 20 20 20 20 20 20 20 20 20
#
timestamp_iso,millis,unix_time,label,label_name,marker,sensor_idx,logical_id,profile_id,profile_name,profile_cycle,heater_step,heater_temp_c,heater_dur_ms,gas_resistance_ohm,temperature_c,humidity_pct,pressure_pa,idac,res_heat,gas_wait_reg,status,gas_valid,heat_stable,meas_index,skipped
,191454,0,2,SOILED,,4,4,1,ramp_200_350,2,8,333,990,28628.94,40.080,30.880,100131.71,174,113,10,176,1,1,133,147
,192574,0,2,SOILED,,2,2,1,ramp_200_350,2,0,200,990,19692.31,39.791,35.620,100116.74,136,77,10,144,0,1,144,77
,196500,0,2,SOILED,,6,6,1,ramp_200_350,2,2,233,990,118408.88,39.354,29.133,100127.70,149,88,10,128,0,0,171,82
,198179,0,2,SOILED,,5,5,1,ramp_200_350,2,3,250,990,56649.70,39.660,31.934,100114.99,153,88,10,144,0,1,180,14
,198316,0,2,SOILED,,1,1,1,ramp_200_350,2,4,267,990,23464.71,38.847,34.530,100115.02,156,92,10,144,0,1,187,61
,200280,0,2,SOILED,,3,3,1,ramp_200_350,2,5,283,990,19076.01,39.720,35.258,100121.78,160,97,10,144,0,1,197,141
,201960,0,2,SOILED,,0,0,1,ramp_200_350,2,6,300,990,9345.79,38.859,34.939,100101.50,173,102,10,144,0,1,210,99
,203223,0,2,SOILED,,2,2,1,ramp_200_350,2,7,317,990,10003.13,39.811,35.698,100115.09,170,107,10,144,0,1,221,76
,206864,0,2,SOILED,,1,1,1,ramp_200_350,2,0,200,990,20625.20,38.950,34.178,100118.25,136,76,10,144,0,1,249,61
,207569,0,2,SOILED,,6,6,1,ramp_200_350,2,0,200,990,40583.39,39.541,29.139,100126.47,138,80,10,144,0,1,251,79
,210791,0,2,SOILED,,7,7,1,ramp_200_350,2,2,233,990,119738.07,39.753,27.797,100112.27,156,84,10,144,0,1,15,149
,211909,0,2,SOILED,,4,4,1,ramp_200_350,2,3,250,990,66081.57,39.896,30.829,100132.20,153,92,10,144,0,1,24,146
,214149,0,2,SOILED,,2,2,1,ramp_200_350,2,5,283,990,14668.81,39.743,35.713,100123.08,160,98,10,144,0,1,44,78
,215550,0,2,SOILED,,1,1,1,ramp_200_350,2,6,300,990,12546.56,39.242,34.422,100127.51,164,100,10,144,0,1,56,62
,215971,0,2,SOILED,,0,0,1,ramp_200_350,2,6,300,990,9272.67,39.030,34.853,100111.43,173,102,10,144,0,1,55,100
,218778,0,2,SOILED,,6,6,1,ramp_200_350,2,8,333,990,21476.51,40.118,28.894,100130.94,174,113,10,144,0,1,76,80
,220035,0,2,SOILED,,3,3,1,ramp_200_350,2,9,350,990,18353.89,40.325,34.864,100126.71,175,114,10,144,0,1,83,141
,224375,0,2,SOILED,,1,1,1,ramp_200_350,2,3,250,990,34678.95,39.061,34.334,100117.79,151,88,10,144,0,1,120,63
,225076,0,2,SOILED,,2,2,1,ramp_200_350,2,3,250,990,31158.71,39.713,35.553,100114.83,152,90,10,144,0,1,123,78
,230397,0,2,SOILED,,0,0,1,ramp_200_350,2,7,317,990,8613.73,39.205,34.750,100105.41,177,106,10,144,0,1,159,103
,230407,0,2,SOILED,,6,6,1,ramp_200_350,2,7,317,990,18923.71,40.116,28.965,100124.88,171,109,10,144,0,1,160,83
,233061,0,2,SOILED,,4,4,1,ramp_200_350,2,8,333,990,21262.46,40.575,30.618,100129.49,174,113,10,144,0,1,176,151
,233064,0,2,SOILED,,7,7,1,ramp_200_350,2,8,333,990,20349.76,40.488,27.607,100116.19,183,109,10,144,0,1,175,159
,233479,0,2,SOILED,,1,1,1,ramp_200_350,2,9,350,990,15625.00,39.683,34.151,100115.66,176,113,10,144,0,1,186,65
,236142,0,2,SOILED,,2,2,1,ramp_200_350,2,1,217,990,88306.31,39.738,35.261,100115.56,142,82,10,144,0,1,203,79
,238247,0,2,SOILED,,5,5,1,ramp_200_350,2,2,233,990,87671.23,40.044,31.549,100114.13,148,84,10,144,0,1,211,30
,240626,0,2,SOILED,,3,3,1,ramp_200_350,2,4,267,990,28744.67,40.084,34.948,100126.36,156,94,10,144,0,1,231,147
